hip,hd,proper,bf,bayer,flam,con,ra_deg,dec,mag,ci,spect,dist
25,224750,"","","","",Phe,0.0795,-44.290561,6.28,0.763,G3IV,81.367
34,224758,"","","","",Peg,0.09956999999999999,26.918108,6.43,0.514,F7.5IV-V,74.6269
43,224784,"","","","",Cas,0.128895,59.559679,6.18,1.032,G9III-IV,136.2398
50,224782,"","","","",Phe,0.14299499999999998,-53.097713,6.49,0.616,G1IV,59.4177
63,224801,"","","","",And,0.181785,45.253334,6.36,-0.047,B9p SiEu,187.9699
88,224834,"",Tau Phe,Tau,"",Phe,0.269115,-48.809876,5.71,0.911,G8III,181.8182
106,224870,"","","","",Cas,0.330195,49.981558,6.22,0.97,G7II-III,199.6008
107,224865,"","","","",Phe,0.333825,-50.337373,5.53,1.615,M2III,166.3894
122,224889,"",The Oct,The,"",Oct,0.39924000000000004,-77.065724,4.78,1.254,K2III,66.5779
124,224893,"","","","",Cas,0.404235,61.222801,5.58,0.407,F0III,943.3962
128,224890,"","","","",Cep,0.413955,73.611846,6.5,0.182,Am...,70.7714
137,224906,"","","","",And,0.432705,42.367144,6.25,-0.042,B9IIIp Mn,374.5318
145,224926,"",29    Psc,"",29,Psc,0.45603,-3.027504,5.13,-0.128,B7III-IV,139.2758
154,224935,"",30    Psc,"",30,Psc,0.49008,-6.014072,4.37,1.631,M3III,132.4503
171,224930,"",85    Peg,"",85,Peg,0.5420849999999999,27.082256,5.8,0.69,G3V,12.1699
183,224990,"",Zet Scl,Zet,"",Scl,0.583005,-29.720414,5.04,-0.15,B4V,154.0832
186,224995,"",31    Psc,"",31,Psc,0.60069,8.956824,6.33,0.182,A6V,122.8501
194,225003,"",32    Psc,"",32,Psc,0.6237600000000001,8.485463,5.7,0.315,F0V,36.9004
207,225009,"","","","",Cas,0.650355,66.098966,5.87,1.073,G8III,100000.0
238,225045,"","","","",Cet,0.7395149999999999,-20.045882,6.25,0.526,F6/F7V,61.1621
253,225069,"","","","",Cet,0.7827149999999999,-24.145145,6.46,1.176,K1III,203.666
274,225094,"","","","",Cas,0.857145,63.64052,6.24,0.332,B3Ia,763.3588
301,225132,"",2    Cet,"",2,Cet,0.9349500000000001,-17.335988,4.55,-0.047,B9IVn,83.4725
302,225136,"","","","",Cep,0.9651299999999999,66.712183,6.31,1.629,M4,265.9574
330,225180,"",9    Cas,"",9,Cas,1.05693,62.287664,5.9,0.274,A1III,100000.0
343,225197,"","","","",Cet,1.082475,-16.529036,5.78,1.084,K0III,90.6618
345,225200,"","","","",Scl,1.08465,-29.268822,6.38,0.006,A1V,124.8439
355,225212,"",3    Cet,"",3,Cet,1.1254950000000001,-10.509523,4.99,1.619,K3Ibvar,641.0256
365,225218,"","","","",And,1.15245,42.09253,6.11,0.159,B9III,386.1004
377,225253,"","","","",Tuc,1.1719650000000001,-71.436891,5.59,-0.1,B8III,175.4386
379,225216,"","","","",Cep,1.17456,67.166445,5.68,1.051,K1III,92.6784
394,225239,"","","","",And,1.223595,34.659797,6.09,0.632,G2V,39.185
399,225276,"","","","",Peg,1.2333,26.648764,6.25,1.368,K4IIIb,200.0
410,225292,"","","","",Peg,1.25493,27.674784,6.47,0.946,G8II,168.0672
417,6,"","","","",Psc,1.265925,-0.503035,6.32,1.099,G9III:,138.8889
418,225289,"","","","",Cas,1.275585,61.31397,5.8,-0.067,B8MNp...,221.7295
443,28,"",33    Psc,"",33,Psc,1.33392,-5.707618,4.61,1.029,K1III,39.4945
476,87,"",86    Peg,"",86,Peg,1.424835,13.396266,5.55,0.901,G5III,114.2857
518,123,"","","","",Cas,1.56534,58.436733,5.98,0.687,G5V,21.4777
522,142,"","","","",Phe,1.5791549999999999,-49.075191,5.7,0.519,G1IV...,25.7136
531,144,"",10    Cas,"",10,Cas,1.61055,64.196168,5.57,-0.023,B9III,265.9574
544,166,"","","","",And,1.653135,29.021502,6.07,0.752,K0V,13.6705
560,203,"","","","",Cet,1.7086649999999999,-23.10754,6.19,0.386,F2IV,39.3856
602,256,"","","","",Cet,1.826115,-17.38699,6.2,0.133,A2IV/V,176.0563
635,315,"","","","",Psc,1.9338000000000002,-2.548679,6.43,-0.146,B8IIIsp...,183.4862
636,319,"","","","",Cet,1.945395,-22.50856,5.93,0.141,A1V,78.3699
655,344,"","","","",Scl,2.014545,-33.529326,5.67,1.119,K1III,94.9668
664,352,"","","","",Psc,2.050395,-2.447711,6.18,1.366,K2III,279.3296
671,360,"","","","",Cet,2.07306,-8.824112,5.99,1.034,G8III:,98.4252
677,358,Alpheratz,21Alp And,Alp,21,And,2.096865,29.090432,2.07,-0.038,B9p,29.7442
695,371,"","","","",Cas,2.13693,63.20404,6.41,0.998,G3II,369.0037
696,402,"","","","",Cet,2.13957,-17.578155,6.11,1.664,M0/M1IIICNp,578.0347
699,400,"","","","",And,2.17065,36.627125,6.21,0.504,F8IV,32.4465
716,417,"","","","",Peg,2.21721,25.462985,6.24,0.976,K0III,138.5042
728,434,"","","","",Peg,2.250675,28.247543,6.47,0.242,A4Vm,110.8647
729,448,"",87    Peg,"",87,Peg,2.26008,18.211963,5.57,1.043,G9III,87.4126
730,469,"","","","",Phe,2.2599,-54.001931,6.32,0.738,G4IV...,128.3697
746,432,Caph,11Bet Cas,Bet,11,Cas,2.293305,59.14978,2.28,0.38,F2III-IV,16.7842
760,431,"","","","",Cep,2.332875,79.714545,6.01,0.203,A7IV,105.4852
761,493,"",Kap1Scl,Kap-1,"",Scl,2.3377649999999996,-27.987928,5.42,0.414,F3V,77.4593
765,496,"",Eps Phe,Eps,"",Phe,2.35254,-45.747426,3.88,1.013,K0III,44.2087
798,565,"","","","",Tuc,2.46711,-62.296794,6.34,0.164,A6V,132.2751
813,560,"",34    Psc,"",34,Psc,2.50917,11.145813,5.54,-0.064,B9V,93.633
814,636,"",Gam3Oct,Gam-3,"",Oct,2.509395,-82.224047,5.29,1.049,K1/K2III,78.064
840,587,"","","","",Psc,2.57862,-5.248588,5.84,0.973,K1III,58.309
841,571,"",22    And,"",22,And,2.58018,46.072272,5.01,0.405,F2II,377.3585
873,645,"","","","",Cet,2.678475,-12.579897,5.84,1.0,K0III,75.0188
910,693,"",6    Cet,"",6,Cet,2.8160849999999997,-15.467977,4.89,0.487,F5V,18.7477
930,720,"",Kap2Scl,Kap-2,"",Scl,2.8934100000000003,-27.799737,5.41,1.346,K2III,243.309
950,739,"",The Scl,The,"",Scl,2.93328,-35.133119,5.24,0.459,F3/F5V,21.2766
967,743,"","","","",And,2.996115,48.152396,6.18,1.467,K4III,202.0202
983,787,"","","","",Cet,3.041595,-17.938278,5.29,1.478,K4III,190.8397
1009,800,"","","","",And,3.1422600000000003,44.707195,6.5,1.112,K0,140.8451
1067,886,Algenib,88Gam Peg,Gam,88,Peg,3.30897,15.183596,2.83,-0.19,B2IV,120.048
1074,1032,"","","","",Oct,3.331485,-84.993978,5.78,1.71,M0/M1III,298.5075
1076,895,"","","","",And,3.34968,26.987545,6.24,0.68,G0III,131.406
1086,905,"",23    And,"",23,And,3.3786,41.03537,5.71,0.331,F0IV,34.904
1096,942,"","","","",Scl,3.426015,-26.022345,5.94,1.548,K5III,396.8254
1099,943,"","","","",Scl,3.43491,-26.284959,6.14,1.49,K4III,265.252
1123,952,"","","","",And,3.5095050000000003,33.206039,6.22,0.009,A1V,103.1992
1158,1014,"","","","",Cet,3.61512,-7.780532,5.13,1.601,M3IIIvar,178.5714
1168,1013,"",89Chi Peg,Chi,89,Peg,3.6506700000000003,20.206702,4.79,1.572,M2III,112.8668
1170,1038,"",7    Cet,"",7,Cet,3.660075,-18.932866,4.44,1.64,M1III,137.1742
1191,1064,"","","","",Cet,3.72714,-9.569571,5.77,-0.084,B9V,103.8422
1193,1048,"","","","",Peg,3.7329,22.284225,6.25,-0.004,A1p,140.8451
1195,1089,"","","","",Scl,3.7427249999999996,-34.904223,6.17,1.344,K3III,194.5525
1196,1061,"",35    Psc,"",35,Psc,3.745155,8.820962,6.02,0.312,F0IV,77.7605
1208,1075,"","","","",And,3.77895,31.535725,6.34,1.555,K5,286.533
1215,1083,"","","","",And,3.79401,27.28344,6.35,-0.002,A1Vn,135.1351
1269,1142,"","","","",Cas,3.978585,61.000172,6.43,0.838,G8III...,132.9787
1268,1221,"","","","",Hyi,3.9788550000000003,-75.911615,6.49,0.983,G8/K0III,189.3939
1288,1187,"","","","",Scl,4.03689,-31.446394,5.66,1.35,K2III,152.207
1296,1141,"","","","",Cep,4.057905,76.950755,6.35,-0.044,B9Vn,192.3077
1302,1185,"","","","",And,4.089675000000001,43.595049,6.12,0.068,A2V,106.4963
1319,1227,"",36    Psc,"",36,Psc,4.14183,8.240154,6.12,0.919,G8II-III,125.0
1331,1256,"","","","",Cet,4.176435,-20.210061,6.5,-0.108,B6III/IV,182.8154
1354,1239,"","","","",Cas,4.237695,61.533185,5.74,0.898,G8III,190.1141
1366,1280,"",24The And,The,24,And,4.272945,38.681636,4.61,0.059,A2V,94.697
1372,1279,"","","","",Cas,4.287675,47.947405,5.86,-0.079,B7III,343.6426
1402,1343,"","","","",Cet,4.386254999999999,-19.051092,6.46,0.386,F3V,48.4966
1415,1337,"","","","",Cas,4.429424999999999,51.43309,6.11,-0.151,O9IIInn,735.2941
1421,1367,"","","","",Psc,4.448745,1.688727,6.19,0.937,K0II,117.3709
1465,1419,"","","","",Psc,4.571865,11.206214,6.07,1.036,K0III,153.8462
1473,1404,"",25Sig And,Sig,25,And,4.581945,36.785224,4.51,0.054,A2V,41.3223
1493,1439,"","","","",And,4.659375,31.517227,5.88,-0.014,A0IV,166.6667
1499,1461,"","","","",Cet,4.674435,-8.053001,6.47,0.674,G0V,23.245
1501,1438,"",26    And,"",26,And,4.67568,43.791141,6.1,-0.074,B8V,202.8398
1502,1483,"","","","",Phe,4.6773,-43.235571,6.33,1.21,K2III,112.4859
1562,1522,"",8Iot Cet,Iot,8,Cet,4.856985,-8.823921,3.56,1.214,K2III,84.1751
1575,1527,"","","","",And,4.92318,40.729461,6.35,1.179,K1III,175.1313
1599,1581,"",Zet Tuc,Zet,"",Tuc,5.01213,-64.874791,4.23,0.576,F9V,8.5866
1630,1606,"","","","",And,5.101665,30.935614,5.89,-0.098,B7V,159.7444
1639,1601,"","","","",Cas,5.12886,48.968633,6.46,0.564,G0,218.3406
1645,1635,"",41    Psc,"",41,Psc,5.149425,8.190271,5.38,1.343,K3III,125.0
1647,1685,"",Pi  Tuc,Pi,"",Tuc,5.162669999999999,-69.624913,5.5,-0.046,B9V,97.561
1657,1632,"","","","",And,5.1896700000000004,32.911186,5.79,1.595,K5III,191.9386
